GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
08/16/2017,LINK-021324,40.68407,-73.97836,Brooklyn,C6-2,39,302,590 Atlantic Avenue (Physical location on 4th avenue),Atlantic Ave,Pacific Street,SE,11217,North Flatbush,Yes,N,Park Slope-Gowanus,82194,12/14/2017,02/12/2018,,,3009270001,3012901,"(40.68407475, -73.97835689)"
09/07/2017,LINK-021326,40.68662,-73.97826,Brooklyn,C6-2,35,302,300 Ashland Place,Lafayette Avenue,Hanson Place,SW,11217,MetroTech,Yes,N,Fort Greene,82290,12/14/2017,02/12/2018,,,3021100003,3003500,"(40.68662365904319, -73.9782569070033)"
09/28/2017,LINK-021530,40.84562,-73.93631,Manhattan,C1-4,10,112,1300 St Nicholas Ave,W 175th Street,W 176th Street,NE,10033,,No,N,Washington Heights South,82380,02/16/2018,04/17/2018,,,1021330001,1026100,"(40.84562051, -73.93631011)"
09/28/2017,LINK-021531,40.84209,-73.93886,Manhattan,C2-4,10,112,4036 Broadway,W 170th st,W 169th St,SE,10032,,No,N,Washington Heights South,82360,02/16/2018,04/17/2018,,,1021260001,1025300,"(40.84209479, -73.93886215)"
09/28/2017,LINK-021800,40.80510,-73.93719,Manhattan,C4-4D,9,111,130 EAST 126 STREET,LEXINGTON AVENUE,PARK AVENUE,SW,10035,,No,N,East Harlem North,82372,02/02/2018,04/03/2018,,,1017740056,1019600,"(40.80510265, -73.93719105)"
01/09/2018,LINK-021532,40.85365,-73.93031,Manhattan,C1-4,10,112,571 W 188th STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,NE,10040,,No,N,Washington Heights North,82587,02/16/2018,04/17/2018,,,1021580033,1027700,"(40.853645655754164, -73.93031028453692)"
11/21/2017,LINK-021715,40.76893,-73.95813,Manhattan,C1-5,5,108,1398 2nd Ave,72nd St,73rd St,SW,10021,,No,N,Lenox Hill-Roosevelt Island,82508,01/10/2018,03/11/2018,,,1014477501,1012600,"(40.76893419657954, -73.958134972999)"
12/07/2017,LINK-021720,40.78455,-73.94705,Manhattan,C2-5,5,111,1869 2 AVENUE,EAST 96 STREET,EAST 97 STREET,MIDBLOCK,10029,,No,N,East Harlem South,82545,02/02/2018,04/03/2018,,,1016460023,1015602,"(40.78455399, -73.94704725)"
11/21/2017,LINK-021725,40.77715,-73.95241,Manhattan,C1-9,5,108,1633 2nd Ave,E 85 ST,E 84 ST,SW,10028,,No,N,Yorkville,82509,01/10/2018,03/11/2018,,,1015300028,1014601,"(40.77714586, -73.95241224)"
11/21/2017,LINK-021726,40.78374,-73.94766,Manhattan,C2-8,5,108,1837 2nd Ave,2nd Ave,3rd Ave,NW,10128,,No,N,Yorkville,82510,01/10/2018,03/11/2018,,,1015410021,1015601,"(40.78373941, -73.94765838)"
